local-authority-code,label
ABC,Sparse and rural; Emissions: Industry/domestic/transport; 2nd IMD quintile; Northern Ireland
ABD,Sparse and rural; Emissions: Industry/domestic/transport; 5th IMD quintile; Scotland
ABE,Urban; Emissions: Public sector; 4th IMD quintile; Scotland
ADU,Urban; Emissions: Urban mainstream; 4th IMD quintile; South East
AGB,Sparse and rural; Emissions: Industry/domestic/transport; 4th IMD quintile; Scotland
AGY,Rural; Emissions: Industry/domestic/transport; 3rd IMD quintile; Wales
ALL,Rural; Emissions: Industry/domestic/transport; 3rd IMD quintile; North West
AMB,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; East Midlands
AND,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; Northern Ireland
ANN,Urban with rural areas; Emissions: Industry/domestic/transport; 2nd IMD quintile; Northern Ireland
ANS,Urban with rural areas; Emissions: Industry/domestic/transport; 4th IMD quintile; Scotland
ARU,Urban; Emissions: Domestic; 4th IMD quintile; South East
ASF,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; South East
ASH,Urban; Emissions: Domestic; 2nd IMD quintile; East Midlands
BAB,Rural; Emissions: Industry/domestic/transport; 5th IMD quintile; East of England
BAE,Urban with rural areas; Emissions: Industry/domestic/transport; 3rd IMD quintile; East Midlands
BAI,Urban; Emissions: Urban mainstream; 3rd IMD quintile; East of England
BAN,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; South East
BAR,Urban with rural areas; Emissions: Industry/commercial/public sector; 1st IMD quintile; North West
BAS,Urban with rural areas; Emissions: Urban mainstream; 5th IMD quintile; South West
BBD,Urban; Emissions: Urban mainstream; 1st IMD quintile; North West
BDF,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; East of England
BDG,Urban; Emissions: Urban mainstream; 1st IMD quintile; London
BEN,Urban; Emissions: Urban mainstream; 2nd IMD quintile; London
BEX,Urban; Emissions: Urban mainstream; 4th IMD quintile; London
BFS,Urban; Emissions: Public sector; 1st IMD quintile; Northern Ireland
BGE,Urban with rural areas; Emissions: Domestic; 2nd IMD quintile; Wales
BGW,Urban; Emissions: Domestic; 1st IMD quintile; Wales
BIR,Urban; Emissions: Public sector; 1st IMD quintile; West Midlands
BLA,Urban with rural areas; Emissions: Urban mainstream; 5th IMD quintile; East Midlands
BNE,Urban; Emissions: Urban mainstream; 4th IMD quintile; London
BNH,Urban; Emissions: Urban mainstream; 3rd IMD quintile; South East
BNS,Urban; Emissions: Domestic; 1st IMD quintile; Yorkshire and The Humber
BOL,Urban; Emissions: Urban mainstream; 1st IMD quintile; North West
BOS,Rural; Emissions: Domestic; 2nd IMD quintile; East Midlands
BOT,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; East Midlands
BPC,Urban; Emissions: Urban mainstream; 4th IMD quintile; South West
BPL,Urban; Emissions: Public sector; 1st IMD quintile; North West
BRA,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; East of England
BRC,Urban; Emissions: Urban mainstream; 5th IMD quintile; South East
BRD,Urban; Emissions: Domestic; 1st IMD quintile; Yorkshire and The Humber
BRE,Sparse and rural; Emissions: Industry/domestic/transport; 3rd IMD quintile; East of England
BRM,Urban; Emissions: Domestic; 5th IMD quintile; West Midlands
BRO,Rural; Emissions: Domestic; 5th IMD quintile; East of England
BRT,Urban; Emissions: Domestic; 5th IMD quintile; East Midlands
BRW,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; East of England
BRX,Urban; Emissions: Urban mainstream; 4th IMD quintile; East of England
BRY,Urban; Emissions: Urban mainstream; 5th IMD quintile; London
BST,Urban; Emissions: Urban mainstream; 2nd IMD quintile; South West
BUC,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; South East
BUN,Urban; Emissions: Domestic; 1st IMD quintile; North West
BUR,Urban; Emissions: Domestic; 3rd IMD quintile; North West
CAB,Urban; Emissions: Public sector; 4th IMD quintile; East of England
CAN,Urban; Emissions: Domestic; 3rd IMD quintile; West Midlands
CAR,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; North West
CAS,Urban; Emissions: Urban mainstream; 4th IMD quintile; East of England
CAT,Urban; Emissions: Urban mainstream; 4th IMD quintile; South East
CAY,Urban with rural areas; Emissions: Domestic; 2nd IMD quintile; Wales
CBF,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; East of England
CCG,Sparse and rural; Emissions: Industry/domestic/transport; 1st IMD quintile; Northern Ireland
CGN,Sparse and rural; Emissions: Industry/domestic/transport; 3rd IMD quintile; Wales
CHA,Urban; Emissions: Domestic; 5th IMD quintile; East Midlands
CHE,Urban; Emissions: Domestic; 4th IMD quintile; North West
CHI,Rural; Emissions: Industry/domestic/transport; 5th IMD quintile; South East
CHL,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; East of England
CHO,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; North West
CHR,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; South East
CHS,Urban; Emissions: Domestic; 2nd IMD quintile; East Midlands
CHT,Urban; Emissions: Urban mainstream; 5th IMD quintile; South West
CHW,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; North West
CLD,Urban; Emissions: Domestic; 2nd IMD quintile; Yorkshire and The Humber
CLK,Rural; Emissions: Industry/commercial/public sector; 3rd IMD quintile; Scotland
CMD,Urban; Emissions: Public sector; 3rd IMD quintile; London
CMN,Urban with rural areas; Emissions: Industry/domestic/transport; 3rd IMD quintile; Wales
COL,Urban with rural areas; Emissions: Urban mainstream; 4th IMD quintile; East of England
CON,Rural; Emissions: Industry/domestic/transport; 3rd IMD quintile; South West
COP,Rural; Emissions: Domestic; 2nd IMD quintile; North West
COT,Rural; Emissions: Industry/domestic/transport; 5th IMD quintile; South West
COV,Urban; Emissions: Urban mainstream; 2nd IMD quintile; West Midlands
CRA,Rural; Emissions: Industry/domestic/transport; 5th IMD quintile; Yorkshire and The Humber
CRF,Urban; Emissions: Urban mainstream; 2nd IMD quintile; Wales
CRW,Urban; Emissions: Urban mainstream; 4th IMD quintile; South East
CRY,Urban; Emissions: Urban mainstream; 3rd IMD quintile; London
CWY,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; Wales
DAC,Urban; Emissions: Domestic; 5th IMD quintile; East of England
DAL,Urban; Emissions: Domestic; 2nd IMD quintile; North East
DAR,Urban; Emissions: Urban mainstream; 3rd IMD quintile; South East
DEB,Rural; Emissions: Industry/domestic/transport; 5th IMD quintile; East Midlands
DEN,Rural; Emissions: Domestic; 2nd IMD quintile; Wales
DER,Urban; Emissions: Urban mainstream; 2nd IMD quintile; East Midlands
DGY,Sparse and rural; Emissions: Industry/domestic/transport; 3rd IMD quintile; Scotland
DNC,Urban; Emissions: Domestic; 1st IMD quintile; Yorkshire and The Humber
DND,Urban; Emissions: Public sector; 2nd IMD quintile; Scotland
DOV,Urban with rural areas; Emissions: Urban mainstream; 3rd IMD quintile; South East
DRS,Urban with rural areas; Emissions: Industry/domestic/transport; 1st IMD quintile; Northern Ireland
DST,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; South West
DUD,Urban; Emissions: Urban mainstream; 3rd IMD quintile; West Midlands
DUR,Rural; Emissions: Domestic; 2nd IMD quintile; North East
EAL,Urban; Emissions: Urban mainstream; 3rd IMD quintile; London
EAS,Urban; Emissions: Urban mainstream; 3rd IMD quintile; South East
EAT,Urban; Emissions: Urban mainstream; 5th IMD quintile; South East
EAY,Rural; Emissions: Domestic; 2nd IMD quintile; Scotland
ECA,Rural; Emissions: Industry/domestic/transport; 5th IMD quintile; East of England
EDE,Rural; Emissions: Domestic; 5th IMD quintile; South West
EDH,Urban; Emissions: Public sector; 4th IMD quintile; Scotland
EDN,Sparse and rural; Emissions: Industry/domestic/transport; 4th IMD quintile; North West
EDU,Urban; Emissions: Domestic; 5th IMD quintile; Scotland
EHA,Urban with rural areas; Emissions: Industry/domestic/transport; 5th IMD quintile; South East
EHE,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; East of England
ELI,Rural; Emissions: Industry/domestic/transport; 1st IMD quintile; East Midlands
ELM,Urban; Emissions: Domestic; 5th IMD quintile; South East
ELN,Rural; Emissions: Domestic; 4th IMD quintile; Scotland
ELS,Sparse and rural; Emissions: Industry/domestic/transport; 4th IMD quintile; Scotland
ENF,Urban; Emissions: Urban mainstream; 2nd IMD quintile; London
EPP,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; East of England
EPS,Urban; Emissions: Urban mainstream; 5th IMD quintile; South East
ERE,Urban; Emissions: Domestic; 4th IMD quintile; East Midlands
ERW,Urban; Emissions: Domestic; 5th IMD quintile; Scotland
ERY,Urban with rural areas; Emissions: Industry/domestic/transport; 4th IMD quintile; Yorkshire and The Humber
ESK,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; East of England
EST,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; West Midlands
EXE,Urban; Emissions: Public sector; 4th IMD quintile; South West
FAL,Urban; Emissions: Domestic; 3rd IMD quintile; Scotland
FAR,Urban; Emissions: Urban mainstream; 5th IMD quintile; South East
FEN,Urban with rural areas; Emissions: Industry/domestic/transport; 2nd IMD quintile; East of England
FIF,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; Scotland
FLN,Urban with rural areas; Emissions: Industry/domestic/transport; 3rd IMD quintile; Wales
FMO,Sparse and rural; Emissions: Industry/domestic/transport; 1st IMD quintile; Northern Ireland
FOE,Sparse and rural; Emissions: Domestic; 4th IMD quintile; South West
FYL,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; North West
GAT,Urban; Emissions: Domestic; 2nd IMD quintile; North East
GED,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; East Midlands
GLG,Urban; Emissions: Public sector; 1st IMD quintile; Scotland
GLO,Urban; Emissions: Public sector; 3rd IMD quintile; South West
GOS,Urban; Emissions: Urban mainstream; 3rd IMD quintile; South East
GRA,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; South East
GRE,Urban; Emissions: Urban mainstream; 3rd IMD quintile; London
GRT,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; South East
GRY,Urban with rural areas; Emissions: Urban mainstream; 1st IMD quintile; East of England
GWN,Rural; Emissions: Industry/domestic/transport; 3rd IMD quintile; Wales
HAA,Urban; Emissions: Urban mainstream; 3rd IMD quintile; South East
HAE,Rural; Emissions: Industry/domestic/transport; 5th IMD quintile; Yorkshire and The Humber
HAG,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; Yorkshire and The Humber
HAL,Urban; Emissions: Domestic; 1st IMD quintile; North West
HAO,Rural; Emissions: Domestic; 5th IMD quintile; East Midlands
HAR,Urban; Emissions: Urban mainstream; 3rd IMD quintile; East of England
HAS,Urban; Emissions: Urban mainstream; 1st IMD quintile; South East
HAT,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; South East
HAV,Urban; Emissions: Urban mainstream; 4th IMD quintile; London
HCK,Urban; Emissions: Urban mainstream; 1st IMD quintile; London
HEF,Sparse and rural; Emissions: Industry/domestic/transport; 4th IMD quintile; West Midlands
HER,Urban; Emissions: Domestic; 5th IMD quintile; East of England
HIG,Urban with rural areas; Emissions: Industry/commercial/public sector; 4th IMD quintile; East Midlands
HIL,Urban; Emissions: Urban mainstream; 4th IMD quintile; London
HIN,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; East Midlands
HLD,Sparse and rural; Emissions: Industry/domestic/transport; 4th IMD quintile; Scotland
HMF,Urban; Emissions: Public sector; 3rd IMD quintile; London
HNS,Urban; Emissions: Urban mainstream; 3rd IMD quintile; London
HOR,Rural; Emissions: Domestic; 5th IMD quintile; South East
HPL,Urban; Emissions: Domestic; 1st IMD quintile; North East
HRW,Urban; Emissions: Urban mainstream; 4th IMD quintile; London
HRY,Urban; Emissions: Urban mainstream; 2nd IMD quintile; London
HUN,Rural; Emissions: Industry/domestic/transport; 5th IMD quintile; East of England
HYN,Urban; Emissions: Domestic; 1st IMD quintile; North West
IOS,Sparse and rural; Emissions: Urban mainstream; 5th IMD quintile; South West
IOW,Urban with rural areas; Emissions: Urban mainstream; 3rd IMD quintile; South East
IPS,Urban; Emissions: Urban mainstream; 2nd IMD quintile; East of England
ISL,Urban; Emissions: Urban mainstream; 2nd IMD quintile; London
IVC,Urban; Emissions: Domestic; 1st IMD quintile; Scotland
KEC,Urban; Emissions: Public sector; 3rd IMD quintile; London
KHL,Urban; Emissions: Urban mainstream; 1st IMD quintile; Yorkshire and The Humber
KIN,Sparse and rural; Emissions: Industry/domestic/transport; 3rd IMD quintile; East of England
KIR,Urban; Emissions: Domestic; 2nd IMD quintile; Yorkshire and The Humber
KTT,Urban; Emissions: Urban mainstream; 5th IMD quintile; London
KWL,Urban; Emissions: Domestic; 1st IMD quintile; North West
LAC,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; North West
LBC,Urban with rural areas; Emissions: Domestic; 3rd IMD quintile; Northern Ireland
LBH,Urban; Emissions: Urban mainstream; 2nd IMD quintile; London
LCE,Urban; Emissions: Urban mainstream; 1st IMD quintile; East Midlands
LDS,Urban; Emissions: Public sector; 2nd IMD quintile; Yorkshire and The Humber
LEE,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; South East
LEW,Urban; Emissions: Urban mainstream; 2nd IMD quintile; London
LIC,Urban; Emissions: Public sector; 2nd IMD quintile; East Midlands
LIF,Urban with rural areas; Emissions: Industry/domestic/transport; 5th IMD quintile; West Midlands
LIV,Urban; Emissions: Public sector; 1st IMD quintile; North West
LND,Urban; Emissions: City of London; 4th IMD quintile; London
LUT,Urban; Emissions: Urban mainstream; 2nd IMD quintile; East of England
MAI,Urban with rural areas; Emissions: Urban mainstream; 4th IMD quintile; South East
MAL,Rural; Emissions: Domestic; 5th IMD quintile; East of England
MAN,Urban; Emissions: Public sector; 1st IMD quintile; North West
MAS,Urban; Emissions: Domestic; 2nd IMD quintile; East Midlands
MAV,Sparse and rural; Emissions: Domestic; 4th IMD quintile; West Midlands
MDB,Urban; Emissions: Domestic; 1st IMD quintile; North East
MDE,Rural; Emissions: Industry/domestic/transport; 4th IMD quintile; South West
MDW,Urban; Emissions: Urban mainstream; 3rd IMD quintile; South East
MEA,Urban with rural areas; Emissions: Industry/domestic/transport; 2nd IMD quintile; Northern Ireland
MEL,Urban with rural areas; Emissions: Industry/domestic/transport; 5th IMD quintile; East Midlands
MEN,Urban with rural areas; Emissions: Industry/domestic/transport; 4th IMD quintile; South West
MIK,Urban; Emissions: Urban mainstream; 4th IMD quintile; South East
MLN,Urban with rural areas; Emissions: Domestic; 4th IMD quintile; Scotland
MOL,Urban with rural areas; Emissions: Domestic; 5th IMD quintile; South East
MON,Urban with rural areas; Emissions: Industry/domestic/transport; 4th IMD quintile; Wales
MRT,Urban; Emissions: Urban mainstream; 4th IMD quintile; London
MRY,Sparse and rural; Emissions: Industry/commercial/public sector; 4th IMD quintile; Scotland
MSS,Urban; Emissions: Domestic; 5th IMD quintile; South East
